"When I was driving home after  several days of hard work, there á was a motorist ahead of me who was driving at 50 km/hour and á refused, despite his low speeed to let me overtake.",anger
When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,anger
When I had been obviously unjustly treated and had no possibility á of elucidating this.,anger
When a car is overtaking another and I am forced to drive off the á road.,anger
When one is unjustly accused of something one has not done.,anger
Friends who torture animals.,anger
When my partner was attacked and lost three teeth.,anger
"Unjust accusations directed at me and my way of acting, by á someone close to me.  ",anger
"When I heard on the radio that the football match in Belgium had á ended in a catastrophe, and several people had died.  I could not á  understand how normal people could behave in such a way.",anger
"At my Summer job, nobody looked after me in particular and I had á to learn all on my own.",anger
When I spoke to Jan-Erik Wikstr÷m on the telephone. ,anger
I locked myself out.,anger
"At work, when an elderly man complained unjustifiably about me and á distrusted me.",anger
Mad at my dad.,anger
When someone stole my bike.,anger
When friends try to put me down or hurt me.  ,anger
When my boyfriend went away for a month long holiday without me.,anger
"At a restaurant I observed how the gypsies tried to get money by á cheating the foreigners i.e non Swedish speaking.  My anger had á nothing to do with hatred against foreigners, but it was an á expression of the anger I feel when I see people being used .",anger
When I got caught in the pouring rain last Thursday and did not á have a raincoat on me.,anger
"When a colleague asked me for help at work, despite the fact á that he had more time to do it than I had.",anger
The editor changed the heading of an article that I had written.  á He considered the heading to be derogatory towards the person I had written á about.,anger
On the T.V I saw a news feature on South Africa.  A policeman      á attacked a group of black people with a whip.,anger
"We were starting a student project, and the teacher we talked to á was very negative and not very helpful.",anger
Being treated unfairly.,anger
"I was accused of having done something, which I hadn't and got á very angry.",anger
"I went to a lecture and once again it had been cancelled, this á was the second time.  One had a negative attitude towards the á lecturer.á ",anger
"In the holiday cottage of our association, two of my pals came to á wake me up early one morning by bringing a radio played at the á highest volume into my room - it was the morning service at its á loudest.",anger
"We were in a disco and the evening was not at all pleasant.  á Despite my not knowing why, I was angry with my companion.  I let á him feel my bad humour as I cannot hide my feelings.",anger
"[ I sometimes quarrel with my mother because she blames me, á though I have not in any way been connected to some events.]",anger
