When I lost the person who meant the most to me. ,sadness
When my friends did not ask me to go to a New Year's party á with them.,sadness
When I think about the short time that we live and relate it to á the periods of my life when I think that I did not use this á short time.,sadness
"When I recently thought about the hard work it takes to study, and  á how one wants to try something else.  When I read a theoretical á book in English that I did not understand.",sadness
When one's studies seem hopelessly difficult and uninteresting.  ,sadness
[ Same as in anger.],sadness
When I see children on T.V from areas devastated by drought and á war.,sadness
Failing an examination.,sadness
"When I feel lonely, perhaps because I have to study a lot and I á am shut up in my appartment.  Nothing happens in particular á because there is no time for anything else.",sadness
When I was not accepted as a student in finance and accounting.,sadness
Railway station good-bye.,sadness
I missed the last tram home and had to walk in the pouring rain.,sadness
When I had not understood anything after a lecture.,sadness
A case of unrequited love.,sadness
"When I saw the list of books to read for an acccouting course, I á thought \ Oh God how will I ever manaage it!\""""",sadness
Marriage crises.  Boredom.,sadness
Last year when I worked during the Summer holidays and studied á at the same time for an examination I had to repeat; my boyfriend á went to Greece for a holiday for a month.,sadness
At the begining of a new course one is afraid of encountering á problems one can not manage.  Thoughts revolve around failing á the subject and the consequences it would have for the future.,sadness
When I failed an exam.,sadness
When I did not get the salary increase that I had been expecting á and understood how little one's work was appreciated.,sadness
"A close acquaintance of the family died of lung cancer.  á Although it was expected, I still felt depressed.",sadness
The thought of having to read a boring book of 400 pages in á English.,sadness
"When my boyfriend openly let me down, preferring another girl.",sadness
Breaking up with a girl.,sadness
When my grandmother died.,sadness
"I heard that a former superior of mine had died, I was later at á home home reading about it in the newspaper and I thought of our á interaction and how it was no longer possible.  The limited scope á of human life is sad.",sadness
My grandmother died suddenly last summer.,sadness
"My grandmother died, and my mother called me one sunday morning á in the Autumn.  The way my mother told me about it, I hated her á at that moment.  She sounded as if she had been waiting for the á death of my grandmother.  I had lost a person close to me.  I á felt guilty too as I had been bad to my grandmother of late.  I had not á remained calm when she no longer understood everything so well.",sadness
"After hearing about the death of my grandfather.  First I could á not believe it, but later I wept and felt the situation was á hopeless.  I felt lonely and wanted to be consolated.",sadness
"My sweetheart left me, or rather we decided to break it off by á mutual consent.  The consequences were - unrestrained weeping, á feelings of loneliness, hopelessness and disconsolation.  I felt á that I should find a friend, to talk to joyfully and to forget.",sadness
[ No response.],sadness
After an exam which I failed.,sadness
"When I realized that my girlfriend, whom I like, and I were going á to separate.",sadness
My current work load is too much.  The feeling comes back from á time to time.,sadness
When I think about my parents getting old.,sadness
[ No response.],sadness
When I read a lot and did not remember anything.,sadness
Long illness.,sadness
The inability to read a book at college.,sadness
"When I began to read a thick book, which I had a limited time to á read.  Also when I have a lot of work to do and I cannot keep up.",sadness
When I was told that my friend's wife had cancer.,sadness
When I am alone in a room with no contact with anyone - á loneliness drains me.,sadness
After an operation I had to stay in bed for a long time.,sadness
"I wanted to be pregnant and did not succeed, so I was depressed    á at every menstruation.",sadness
I had a long discussion on politics with an acquaintance.  He á was more knowledgeable than me and I failed to explain my point á of view and was misunderstood so I felt depressed and left.,sadness
"When I left New York, and all my family and my friends behind me.",sadness
I feel sad about an event I can not influence.,sadness
I felt sad and depressed when I heard that our cat had died.,sadness
When I thought that it was going to be impossible for me to start á studying (due to wrong information from the student advisor).,sadness
When I was accused of neglecting work for the wrong reasons.,sadness
When my ex-girlfriend and I discovered that there was a certain risk á of her being pregnant.,sadness
I talked to my boyfriend on the phone when I was in high spirits á and had a lot to tell him.  I had been looking forward to this á conversation and he did not listen to me to the extent that I á had anticipated.,sadness
When I had to leave my mother and my sister after a week's visit.,sadness
When I was left alone one week-end without being prepared for á it.,sadness
"When I applied for a job which I thought I had a good chance of á getting, I was not even granted an interview and did not get the á job.",sadness
When I argue with my mother about the way she treats her two á children differently.,sadness
"The elections of 1982 and 1985.  The thought of what a social á democrat and communist majority could achieve, especially \worker á",sadness
When the result of a project work was treated nonchalantly á intead of being criticized by the teacher.,sadness
When my half brother became seriously ill with cancer and died á later.,sadness
When I was told that I had not been successful in getting the job I á had been expecting.  I was sure that I was sufficiently á qualified.,sadness
"When I watched the T.V programme called \The living planet\"" and á",sadness
My girlfriend who had spent 6 months abroad broke off our á relationship by letter.,sadness
When I crashed my car and it had to be scrapped then.  It was my á fault and I feel depressed as I miss the car.,sadness
When I feel helpless after having tried to help someone without á any result.,sadness
When I realized that I could not communicate properly with my á closest friend.,sadness
Whenever I read or think about the way people treat animals and á nature.,sadness
When a colleague failed to contact me at the arranged time.,sadness
When my daughter had problems with her friends and I could see á her predicament from the window.  She was given a the cold á shoulder.,sadness
Treatment to become pregnant with a negative result.,sadness
When I first heard that Tage Dannielsson had died.,sadness
When my girlfriend left me.,sadness
When my dad gives priority to my kid brother's band and his á other activities.  We both play in different bands and rehearse á in my parents garage.,sadness
When I could not do anything because of a bad back.,sadness
[ No response.],sadness
[ No reponse.],sadness
[ No response.],sadness
When I failed an exam last Summer.  I had worked very hard for it á and I was very disappointed thinking that it was hopeless to á continue at college.  I did overreact.,sadness
I did not quite succeed in breast feeding my baby.,sadness
"My grandfather died, when I was an exchange student in the USA.",sadness
My father gave money to my brother but not to me.,sadness
When my grandmother died. I had lived with her for ten years.,sadness
My boy-friend an I seperated on his initiative.,sadness
"My father had a complicated operation. A long time before and á also a long time after that, we did not know how he would get á over it. During all that time I felt very sad.",sadness
Talking to a very good friend who had just had a very bad á experience which was changing his whole way of looking at life á etc.,sadness
When my dog died.,sadness
"At a lack of love of my father for my mum, sadness for him more á than anyone else because he does not realise how much love and á happiness there could be between them, and is, and how much he is á damaging himself apart from mum.",sadness
My sister won a scholarship to Norway and it was particularly as á she walked across the tarmac to get on the plane and she looked á back at us.,sadness
